"","male","age","educ6","ownhome","income","micro_service","micro_english","micro_afraid","micro_honest","micro_namecall","micro_harassed","micro_pronounce","micro_stem","micro_creative","discrim_promotion","discrim_fired","discrim_hired","discrim_police","discrim_housing","discrim_neighbor","id_asianam","id_ethnic","id_ethnicam","id_asian","id_american","id2_asianam","id2_ethnic","id2_ethnicam","id2_asian","id2_american","linkedfate_race","linkedfate_ethnic","commrace","commcult","commecon","commpol","inequality","bank_reg","minimum_wage","rich_tax","american_job","free_college","race","democrat","republican","states","forborn","citizen","respid","discrimination","micro_aggression"
"5725",1,0.0487804878048781,0.6,0,0.333333333333333,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.333333333333333,1,1,1,1,1,1,1,1,0.5,1,"AAPI",1,0,"CA",0,1,1350000232,0,0.555555555555556
"5726",0,0.548780487804878,0.8,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0.666666666666667,0,1,1,1,0,0,1,0.75,0.75,1,1,"AAPI",1,0,"IL",1,1,1300000121,0.166666666666667,0.111111111111111
"5727",0,0.634146341463415,1,1,0.166666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.75,0,1,"AAPI",1,0,"IL",1,1,1350000393,1,1
"5728",1,0.268292682926829,0.8,0,0.166666666666667,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0.666666666666667,0.666666666666667,1,1,1,1,0.75,0.75,1,0.5,0.5,0.5,"AAPI",0,0,"NY",1,1,1350000199,0.166666666666667,0.111111111111111
"5729",0,0.182926829268293,1,1,0.833333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0.75,1,"AAPI",1,0,"CA",1,1,1350000100,0,0.111111111111111
"5730",1,0.292682926829268,1,1,0.333333333333333,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0.75,0,0,1,"AAPI",0,0,"TX",1,1,1300000169,0.333333333333333,0.111111111111111
"5731",1,0.524390243902439,0.8,1,0.333333333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.666666666666667,0.333333333333333,0,0,1,1,1,1,1,1,0,1,"AAPI",0,0,"TX",1,1,1300000136,0,0.111111111111111
"5732",1,0.475609756097561,1,1,0.166666666666667,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0.25,1,0.75,1,"AAPI",0,0,"WA",1,1,1300000368,0,0.222222222222222
"5733",1,0.585365853658537,0.2,1,0.833333333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0.5,1,0,1,"AAPI",1,0,"NY",1,1,1300000175,0,0.111111111111111
"5734",0,0.292682926829268,1,1,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,"AAPI",0,0,"CA",1,1,1300000339,0,0
